,Spot,Um,Cm
931,SRMUSDT,,
932,ANTBNB,,
933,ANTBTC,,
934,ANTBUSD,,
935,ANTUSDT,,
936,CRVBNB,,
937,CRVBTC,,
938,CRVBUSD,,
939,CRVUSDT,,
940,SANDBNB,,
941,SANDBTC,,
942,SANDUSDT,,
943,SANDBUSD,,
944,OCEANBNB,,
945,OCEANBTC,,
946,OCEANBUSD,,
947,OCEANUSDT,,
948,NMRBTC,,
949,NMRBUSD,,
950,NMRUSDT,,
951,DOTBNB,,
952,DOTBTC,,
953,DOTBUSD,,
954,DOTUSDT,,
955,LUNABNB,,
956,LUNABTC,,
957,LUNABUSD,,
958,LUNAUSDT,,
959,IDEXBTC,,
960,IDEXBUSD,,
961,RSRBNB,,
962,RSRBTC,,
963,RSRBUSD,,
964,RSRUSDT,,
965,PAXGBNB,,
966,PAXGBTC,,
967,PAXGBUSD,,
968,PAXGUSDT,,
969,WNXMBNB,,
970,WNXMBTC,,
971,WNXMBUSD,,
972,WNXMUSDT,,
973,TRBBNB,,
974,TRBBTC,,
975,TRBBUSD,,
976,TRBUSDT,,
977,ETHNGN,,
978,DOTBIDR,,
979,LINKAUD,,
980,SXPAUD,,
981,BZRXBNB,,
982,BZRXBTC,,
983,BZRXBUSD,,
984,BZRXUSDT,,
985,WBTCBTC,,
986,WBTCETH,,
987,SUSHIBNB,,
988,SUSHIBTC,,
989,SUSHIBUSD,,
990,SUSHIUSDT,,
991,YFIIBNB,,
992,YFIIBTC,,
993,YFIIBUSD,,
994,YFIIUSDT,,
995,KSMBNB,,
996,KSMBTC,,
997,KSMBUSD,,
998,KSMUSDT,,
999,EGLDBNB,,
1000,EGLDBTC,,
1001,EGLDBUSD,,
1002,EGLDUSDT,,
1003,DIABNB,,
1004,DIABTC,,
1005,DIABUSD,,
